Serial,Order,EndOfPourTimeStamp,Line,Blend,SmartPartNumber
22704804,H001108709-2,1/22/2024 5:08,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22704805,H001108709-2,1/22/2024 5:09,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22689660,H001108711-1,1/17/2024 12:56,1,29,B24LW-61HN-7V-1600NS-NNNNN-NXN
22689661,H001108711-1,1/17/2024 12:56,1,29,I24LW-61HN-7V-1600NS-NNNNN-NXN
22689662,H001108711-1,1/17/2024 12:58,1,29,I24LW-61HN-7V-1600NS-NNNNN-NXN
22689663,H001108711-1,1/17/2024 12:58,1,29,T24LW-61HN-7V-1600NS-NNNNN-NXN
22779039,H001108714-1,2/5/2024 9:17,2,29,B24LG-61NN-7V-1800NK-01CAR-N5L
22779040,H001108714-1,2/5/2024 0:45,1,29,I21LG-61NN-7V-1800NK-01CAR-N5N
22779041,H001108714-1,2/5/2024 0:46,1,29,I21LG-61NN-7V-1800NK-01CAR-N5N
22779042,H001108714-1,2/5/2024 0:47,1,29,I21LG-61NN-7V-1800NK-01CAR-N5N
22779055,H001108714-4,2/5/2024 11:08,1,29,I18LW-61GN-7V-1600NS-NNNNN-NXN
22779056,H001108714-4,2/1/2024 14:21,2,29,T21LW-61NN-7V-1600NL-04CAR-D5A
22779057,H001108714-5,2/5/2024 6:24,1,29,B21LW-61GN-7V-0900NS-NNNNN-NXL
22779058,H001108714-5,2/5/2024 11:09,1,29,I18LW-61GN-7V-0900NS-NNNNN-NXN
22779072,H001108714-7,2/5/2024 8:20,2,29,I24LD-61SS-7V-0902NS-NNNNN-NXN
22779073,H001108714-7,2/5/2024 8:22,2,29,I24LD-61SS-7V-0902NS-NNNNN-NXN
22779074,H001108714-7,2/5/2024 8:24,2,29,I24LD-61SS-7V-0902NS-NNNNN-NXN
22779075,H001108714-7,2/5/2024 8:19,2,29,I24LD-61SS-7V-0902NS-NNNNN-NXN
22744931,H001108715-1,1/29/2024 0:48,1,29,B21LK-61PS-7V-1600NS-NNNNN-NXL
22744932,H001108715-1,1/29/2024 0:49,1,29,I21LK-61PS-7V-1600NS-NNNNN-NXN
22736071,H001108718-2,1/24/2024 22:59,1,33,I24HN-T1NN-7V-0900NL-NNNNN-NXN
22736072,H001108718-2,1/24/2024 22:59,1,33,I24HN-T1NN-7V-0900NL-NNNNN-NXN
22736073,H001108718-2,1/24/2024 22:59,1,33,T24HN-T1NN-7V-0900NL-02CAR-N4N
22678279,H001108719-1,1/16/2024 3:27,2,29,I24LB-61SS-7V-1000NS-NNNNN-NXN
22678280,H001108719-1,1/16/2024 3:30,2,29,I24LB-61SS-7V-1000NS-NNNNN-NXN
22678281,H001108719-1,1/16/2024 3:20,2,29,I24LB-61SS-7V-1000NS-NNNNN-NXN
22678282,H001108719-1,1/16/2024 3:24,2,29,I24LB-61SS-7V-1000NS-NNNNN-NXN
22768694,H001108727-1,1/31/2024 20:33,2,29,B24LS-61SS-7V-1202NS-NNNNN-NXL
22768695,H001108727-1,1/31/2024 20:30,2,29,I24LS-61SS-7V-1202NS-NNNNN-NXN
